id,ap_id,latitude,longitude,timestamp
202,2299,27.713762,85.292753,2019-01-07 00:10:48.666666
203,2299,27.713459,85.291545,2019-01-07 00:10:49.499999
204,2299,27.713331,85.291171,2019-01-07 00:10:50.333333
205,2299,27.713158,85.290781,2019-01-07 00:10:51.166666
206,2299,27.712971,85.290254,2019-01-07 00:10:51.999999
207,2299,27.71286,85.289987,2019-01-07 00:10:52.833333
208,2299,27.712863,85.289897,2019-01-07 00:10:53.666666
209,2299,27.712886,85.289826,2019-01-07 00:10:54.499999
210,2299,27.712979,85.289653,2019-01-07 00:10:55.333333
211,2299,27.713158,85.289586,2019-01-07 00:10:56.166666
212,2299,27.71338,85.2894,2019-01-07 00:10:56.999999
213,2299,27.713691,85.289193,2019-01-07 00:10:57.833333
214,2299,27.714277,85.28888,2019-01-07 00:10:58.666666
215,2299,27.714469,85.288726,2019-01-07 00:10:59.499999
216,2299,27.714673,85.288503,2019-01-07 00:11:00.333333
217,2299,27.714781,85.288335,2019-01-07 00:11:01.166666
218,2299,27.713949,85.292982,2019-07-01 00:10:47.000000
219,2299,27.714909,85.287735,2019-07-01 00:11:02.000000
220,2299,27.715078,85.287204,2019-01-07 00:11:06.272727
221,2299,27.715203,85.286964,2019-01-07 00:11:10.545454
222,2299,27.715246,85.286915,2019-01-07 00:11:14.818181
223,2299,27.715309,85.286879,2019-01-07 00:11:19.090909
224,2299,27.715497,85.286864,2019-01-07 00:11:23.363636
225,2299,27.715533,85.286879,2019-01-07 00:11:27.636363
226,2299,27.715565,85.286944,2019-01-07 00:11:31.909090
227,2299,27.715561,85.287005,2019-01-07 00:11:36.181818
228,2299,27.715457,85.287265,2019-01-07 00:11:40.454545
229,2299,27.715364,85.287667,2019-01-07 00:11:44.727272
230,2299,27.715336,85.28799000000002,2019-07-01 00:11:02.000000
231,2299,27.715348,85.287917,2019-07-01 00:11:49.000000
232,2299,27.715366,85.288221,2019-01-07 00:11:51.000000
233,2299,27.715429,85.288431,2019-01-07 00:11:53.000000
234,2299,27.715507,85.288609,2019-01-07 00:11:55.000000
235,2299,27.715758,85.288959,2019-01-07 00:11:57.000000
236,2299,27.715336,85.28799000000002,2019-07-01 00:11:49.000000
237,2299,27.715592,85.289353,2019-07-01 00:11:52.000000
238,2299,27.715805,85.289052,2019-07-01 00:11:59.000000
239,2299,27.715592,85.289353,2019-07-01 00:11:59.000000
240,3233,28.200453000000003,83.944298,2019-07-01 00:04:12.000000
241,3233,28.200453000000003,83.944298,2019-07-01 00:04:16.000000
242,3233,28.200453000000003,83.944298,2019-07-01 00:04:19.000000
243,3233,28.200453000000003,83.944298,2019-07-01 00:04:24.000000
244,3233,28.200401,83.944261,2019-07-01 00:04:26.000000
245,3233,28.200468,83.944104,2019-01-07 00:04:26.625000
246,3233,28.200407,83.943719,2019-01-07 00:04:27.250000
247,3233,28.200336,83.943345,2019-01-07 00:04:27.875000
248,3233,28.200344,83.943306,2019-01-07 00:04:28.500000
249,3233,28.200362,83.943289,2019-01-07 00:04:29.125000
250,3233,28.200406,83.943286,2019-01-07 00:04:29.750000
251,3233,28.200449,83.943325,2019-01-07 00:04:30.375000
252,3233,28.20053,83.943511,2019-01-07 00:04:31.000000
253,3233,28.200623,83.943819,2019-01-07 00:04:31.625000
254,3233,28.200666,83.943834,2019-01-07 00:04:32.250000
255,3233,28.200704,83.943803,2019-01-07 00:04:32.875000
256,3233,28.200726,83.943749,2019-01-07 00:04:33.500000
257,3233,28.200669,83.943446,2019-01-07 00:04:34.125000
258,3233,28.200667,83.943342,2019-01-07 00:04:34.750000
259,3233,28.200625,83.943217,2019-01-07 00:04:35.375000
260,3233,28.200533,83.943087,2019-01-07 00:04:36.000000
261,3233,28.200469,83.942935,2019-01-07 00:04:36.625000
262,3233,28.200383,83.94247,2019-01-07 00:04:37.250000
263,3233,28.200394,83.942272,2019-01-07 00:04:37.875000
